AVERAGE RESULTS


TRANSACTION COUNT RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| transaction_count                   | 34.51                | 34.99 (+1.37%)       | 34.61 (+0.26%)       |
------------------------------------------------------------------------------------------------------------


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| InvitherB.sol                       | 36.17%               | 36.17% (0.00%)       | 36.17% (0.00%)       |
| KryptoGiftsMessages.sol             | 40.48%               | 40.48% (0.00%)       | 40.48% (0.00%)       |
| LOVEFoundation.sol                  | 57.89%               | 51.58% (-10.91%)     | 52.63% (-9.09%)      |
| LaolaiManage.sol                    | 42.31%               | 42.31% (0.00%)       | 42.31% (0.00%)       |
| LiteConnectToken.sol                | 27.70%               | 30.41% (+9.76%)      | 27.70% (0.00%)       |
| Luck.sol                            | 45.45%               | 45.45% (0.00%)       | 45.45% (0.00%)       |
| MiCon.sol                           | 52.24%               | 52.24% (0.00%)       | 52.24% (0.00%)       |
| MinerEdgeToken.sol                  | 36.07%               | 45.90% (+27.27%)     | 46.72% (+29.55%)     |
| MoyTokenStorage.sol                 | 50.47%               | 52.34% (+3.70%)      | 49.53% (-1.85%)      |
| MyEtherTellerEntityDB.sol           | 33.63%               | 31.86% (-5.26%)      | 26.55% (-21.05%)     |
| MySuperToken.sol                    | 52.63%               | 54.39% (+3.33%)      | 52.63% (0.00%)       |
| PARKToken.sol                       | 33.33%               | 36.90% (+10.71%)     | 28.57% (-14.29%)     |
| REALotteryWheel.sol                 | 48.72%               | 48.72% (0.00%)       | 46.15% (-5.26%)      |
| SGCC.sol                            | 31.97%               | 31.29% (-2.13%)      | 35.37% (+10.64%)     |
| Saaa.sol                            | 44.00%               | 40.00% (-9.09%)      | 44.00% (0.00%)       |
| SaveData.sol                        | 34.88%               | 34.88% (0.00%)       | 34.88% (0.00%)       |
| SimpleMathTest003.sol               | 46.15%               | 46.15% (0.00%)       | 46.15% (0.00%)       |
| SoapBox.sol                         | 47.27%               | 50.91% (+7.69%)      | 50.91% (+7.69%)      |
| SpecialWallet.sol                   | 33.73%               | 34.91% (+3.51%)      | 33.73% (0.00%)       |
| TIP.sol                             | 35.40%               | 36.28% (+2.50%)      | 37.17% (+5.00%)      |
| TestQuery.sol                       | 33.33%               | 33.33% (0.00%)       | 33.33% (0.00%)       |
| TestRegistry.sol                    | 30.77%               | 30.77% (0.00%)       | 30.77% (0.00%)       |
| TransferCoin.sol                    | 46.15%               | 61.54% (+33.33%)     | 61.54% (+33.33%)     |
| TransferMoney.sol                   | 47.83%               | 47.83% (0.00%)       | 47.83% (0.00%)       |
| VeganCoin.sol                       | 39.02%               | 37.80% (-3.13%)      | 37.80% (-3.13%)      |
| Xtime.sol                           | 51.43%               | 62.86% (+22.22%)     | 61.43% (+19.44%)     |
| epocum.sol                          | 15.81%               | 18.14% (+14.71%)     | 18.60% (+17.65%)     |
| ggbank.sol                          | 32.03%               | 32.03% (0.00%)       | 32.81% (+2.44%)      |
| message.sol                         | 50.00%               | 50.00% (0.00%)       | 48.33% (-3.33%)      |
| msgdata.sol                         | 50.00%               | 50.00% (0.00%)       | 50.00% (0.00%)       |
| payrollSystem.sol                   | 49.37%               | 49.37% (0.00%)       | 49.37% (0.00%)       |
| proforma.sol                        | 38.71%               | 41.94% (+8.33%)      | 40.86% (+5.56%)      |
| testeot.sol                         | 36.42%               | 25.17% (-30.91%)     | 35.76% (-1.82%)      |
| viewMessage.sol                     | 32.43%               | 29.73% (-8.33%)      | 29.73% (-8.33%)      |
| viewMessageNumPayable.sol           | 30.56%               | 30.56% (0.00%)       | 30.56% (0.00%)       |
