GROUP B RESULTS


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
| InvitherB.sol                       | 36.17%               | 36.17% (0.00%)       | 36.17% (0.00%)       |
| SimpleAuction.sol                   | 51.52%               | 51.52% (0.00%)       | 51.52% (0.00%)       |
| message.sol                         | 50.00%               | 48.33% (-3.33%)      | 48.33% (-3.33%)      |
| TranferInTwoPart.sol                | 100.00%              | 100.00% (0.00%)      | 100.00% (0.00%)      |
| viewMessageNumPayable.sol           | 30.56%               | 30.56% (0.00%)       | 30.56% (0.00%)       |
| Sacrific3d.sol                      | 43.90%               | 43.90% (0.00%)       | 43.90% (0.00%)       |
| ProvidencePresale.sol               | 68.57%               | 68.57% (0.00%)       | 68.57% (0.00%)       |
| D2GBToken.sol                       | 33.88%               | 34.71% (+2.44%)      | 34.71% (+2.44%)      |
| Abt.sol                             | 36.36%               | 36.36% (0.00%)       | 36.36% (0.00%)       |
| C2.sol                              | 26.32%               | 26.32% (0.00%)       | 26.32% (0.00%)       |
| TransferCoin.sol                    | 61.54%               | 61.54% (0.00%)       | 61.54% (0.00%)       |
| Saaa.sol                            | 44.00%               | 44.00% (0.00%)       | 44.00% (0.00%)       |
| Arena.sol                           | 42.99%               | 42.99% (0.00%)       | 42.99% (0.00%)       |
| EthMashChain.sol                    | 51.39%               | 51.39% (0.00%)       | 51.39% (0.00%)       |
| PIGGY_BANK.sol                      | 86.49%               | 64.86% (-25.00%)     | 83.78% (-3.13%)      |
| AFactory.sol                        | 19.23%               | 19.23% (0.00%)       | 19.23% (0.00%)       |
| MySuperToken.sol                    | 52.63%               | 54.39% (+3.33%)      | 54.39% (+3.33%)      |
| payrollSystem.sol                   | 49.37%               | 49.37% (0.00%)       | 49.37% (0.00%)       |
| Arss.sol                            | 36.36%               | 36.36% (0.00%)       | 36.36% (0.00%)       |
| CryptoHole.sol                      | 58.42%               | 58.42% (0.00%)       | 58.42% (0.00%)       |
| KryptoGiftsMessages.sol             | 40.48%               | 40.48% (0.00%)       | 40.48% (0.00%)       |
| MiCon.sol                           | 52.24%               | 52.24% (0.00%)       | 52.24% (0.00%)       |
| BlockHashRNGFallback.sol            | 63.46%               | 75.00% (+18.18%)     | 75.00% (+18.18%)     |
| FunFairSale.sol                     | 74.29%               | 73.33% (-1.28%)      | 69.52% (-6.41%)      |
| Protocol108.sol                     | 78.21%               | 78.21% (0.00%)       | 78.21% (0.00%)       |
| CreditDepositBank.sol               | 72.41%               | 72.41% (0.00%)       | 72.41% (0.00%)       |
| MyEtherTellerEntityDB.sol           | 33.63%               | 34.51% (+2.63%)      | 33.63% (0.00%)       |
| SmartBillions.sol                   | 11.86%               | 12.04% (+1.49%)      | 11.86% (0.00%)       |
