NUMBER-DEPENDENCY RESULTS


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
| Dil.sol                             | 14.40%               | 14.41% (+0.02%)      | 14.20% (-1.41%)      |
| EmojisanAuctionHouse.sol            | 8.14%                | 8.48% (+4.12%)       | 8.41% (+3.34%)       |
| EmojisanMarketplace.sol             | 8.71%                | 8.66% (-0.62%)       | 8.51% (-2.37%)       |
| EtchReward.sol                      | 10.68%               | 10.51% (-1.54%)      | 10.87% (+1.81%)      |
| EthMash.sol                         | 16.88%               | 17.23% (+2.07%)      | 17.08% (+1.16%)      |
| EthMashChain.sol                    | 17.44%               | 17.20% (-1.36%)      | 17.02% (-2.42%)      |
| EthMashMount.sol                    | 16.85%               | 16.63% (-1.31%)      | 16.75% (-0.59%)      |
| EthMashTower.sol                    | 13.50%               | 13.72% (+1.59%)      | 13.59% (+0.66%)      |
| EtherTool.sol                       | 9.21%                | 9.01% (-2.15%)       | 9.14% (-0.76%)       |
| FidgETHSpinner.sol                  | 13.30%               | 13.37% (+0.56%)      | 13.56% (+1.98%)      |
| FipsNotary.sol                      | 14.66%               | 15.44% (+5.31%)      | 15.23% (+3.91%)      |
| GPSPresale.sol                      | 9.74%                | 9.80% (+0.62%)       | 9.84% (+0.99%)       |
| HashBet.sol                         | 18.06%               | 18.05% (-0.05%)      | 17.92% (-0.78%)      |
| HodlBox.sol                         | 23.84%               | 23.39% (-1.92%)      | 23.79% (-0.24%)      |
| KeberuntunganAcak.sol               | 6.78%                | 6.53% (-3.71%)       | 7.18% (+5.97%)       |
| KiddyToys.sol                       | 6.02%                | 6.12% (+1.67%)       | 6.09% (+1.23%)       |
| LINKFund.sol                        | 12.57%               | 12.20% (-2.94%)      | 12.52% (-0.37%)      |
| LeanFund.sol                        | 13.35%               | 13.26% (-0.62%)      | 13.53% (+1.37%)      |
| MUSCToken.sol                       | 11.70%               | 11.66% (-0.33%)      | 11.63% (-0.56%)      |
| MarketPrice.sol                     | 9.38%                | 9.43% (+0.51%)       | 8.00% (-14.67%)      |
| Matthew.sol                         | 21.48%               | 23.93% (+11.42%)     | 23.22% (+8.13%)      |
| MoacToken.sol                       | 6.51%                | 6.36% (-2.27%)       | 6.50% (-0.08%)       |
| NFTHouseGame.sol                    | 3.75%                | 3.69% (-1.59%)       | 3.66% (-2.61%)       |
| NatCoinCrowdsale.sol                | 9.16%                | 9.24% (+0.87%)       | 9.33% (+1.84%)       |
| OurRoulette.sol                     | 4.11%                | 3.96% (-3.72%)       | 4.26% (+3.43%)       |
| P2PFuturesTrading.sol               | 13.35%               | 13.10% (-1.90%)      | 12.92% (-3.23%)      |
| PIGGY_BANK.sol                      | 21.43%               | 19.56% (-8.71%)      | 18.92% (-11.73%)     |
| PreAdsMobileToken.sol               | 10.39%               | 10.36% (-0.35%)      | 10.57% (+1.69%)      |
| PreIcoCrowdsale.sol                 | 10.44%               | 10.15% (-2.82%)      | 10.23% (-2.03%)      |
| Profit1000.sol                      | 7.52%                | 7.38% (-1.96%)       | 7.52% (-0.10%)       |
| RandoCoin.sol                       | 8.49%                | 8.34% (-1.77%)       | 8.17% (-3.72%)       |
| Remittance.sol                      | 8.22%                | 8.57% (+4.23%)       | 8.43% (+2.56%)       |
| SCCsale.sol                         | 10.71%               | 10.60% (-1.09%)      | 10.61% (-0.99%)      |
| STRIMToken.sol                      | 6.53%                | 6.03% (-7.62%)       | 6.15% (-5.88%)       |
